,NPGA/90,G/90,G,G+A/90,Pens,player,NPG/90,minutes,A,season,NPG,NPGA
53331,0.36,0.31,7,0.36,0,Vicente Iborra,0.31,2015,1,2014-2015,7,8
53332,0,0,0,0,0,Borja Iglesias,0,13,0,2014-2015,0,0
53333,0,0,0,0,0,Asier Illarramendi,0,1248,0,2014-2015,0,0
53334,0.06,0,0,0.06,0,Andrés Iniesta,0,1574,1,2014-2015,0,1
53335,0.09,0,0,0.09,0,Emanuel Insúa,0,1020,1,2014-2015,0,1
53336,0.1,0.05,1,0.1,0,Emiliano Insúa,0.05,1798,1,2014-2015,1,2
53337,0,0,0,0,0,Pablo Insua,0,1227,0,2014-2015,0,0
53338,0,0,0,0,0,Gorka Iraizoz,0,3060,0,2014-2015,0,0
53339,0.12,0.06,1,0.12,0,Andoni Iraola,0.06,1530,1,2014-2015,1,2
53340,0,0,0,0,0,Xabi Irureta,0,2970,0,2014-2015,0,0
53341,0.54,0.15,4,0.54,0,Isco,0.15,2329,10,2014-2015,4,14
53342,0.04,0,0,0.04,0,Manuel Iturra,0,2362,1,2014-2015,0,1
53343,0.1,0.1,2,0.1,0,Ander Iturraspe,0.1,1816,0,2014-2015,2,2
53344,0.14,0.07,1,0.2,1,Andreas Ivanschitz,0,1326,2,2014-2015,0,2
53345,0,0,0,0,0,Ivi,0,140,0,2014-2015,0,0
53346,0,0,0,0,0,Jaime,0,450,0,2014-2015,0,0
53347,0,0,0,0,0,Jason,0,56,0,2014-2015,0,0
53348,0.65,0.49,3,0.65,0,Jesé,0.49,555,1,2014-2015,3,4
53349,0,0,0,0,0,Jesús,0,540,0,2014-2015,0,0
53350,0.45,0.15,1,0.45,0,Raúl Jiménez,0.15,598,2,2014-2015,1,3
53351,0,0,0,0,0,Bojan Jokić,0,553,0,2014-2015,0,0
53352,0.63,0.42,14,0.63,0,Jonathas,0.42,3015,7,2014-2015,14,21
53353,0,0,0,0,0,Joan Jordán,0,119,0,2014-2015,0,0
53354,0.15,0.08,1,0.15,0,Jozabed,0.08,1185,1,2014-2015,1,2
53355,0.12,0,0,0.12,0,Juanfran,0,3104,4,2014-2015,0,4
53356,0,0,0,0,0,Juanfran,0,1428,0,2014-2015,0,0
53357,0.07,0.03,1,0.07,0,Juanfran,0.03,2743,1,2014-2015,1,2
53358,0.07,0,0,0.07,0,Juankar,0,1344,1,2014-2015,0,1
53359,0.32,0.32,8,0.32,0,Juanmi,0.32,2226,0,2014-2015,8,8
53360,0,0,0,0,0,Juanpi,0,207,0,2014-2015,0,0
53361,0.35,0.15,5,0.35,0,Gaël Kakuta,0.15,3053,7,2014-2015,5,12
53362,0,0,0,0,0,Carlos Kameni,0,3420,0,2014-2015,0,0
53363,0.1,0,0,0.1,0,Nikolaos Karabelas,0,942,1,2014-2015,0,1
53364,0,0,0,0,0,Sami Khedira,0,306,0,2014-2015,0,0
53365,0.37,0.06,2,0.37,0,Koke,0.06,2881,10,2014-2015,2,12
53366,0.06,0.06,1,0.06,0,Timothée Kolodziejczak,0.06,1575,0,2014-2015,1,1
53367,0,0,0,0,0,Rene Krhin,0,1201,0,2014-2015,0,0
